dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.303535,9.570328,0.000400,0.040000,2.000000,100.000000,0.000314
0.020000,0.303535,9.570328,0.001600,0.080000,2.000000,0.000000,0.000281
0.020000,0.303535,9.570328,0.003600,0.120000,2.000000,-0.000000,0.000227
0.020000,0.303535,9.570328,0.006400,0.160000,2.000000,0.000000,0.000151
0.020000,0.303535,9.570328,0.010000,0.200000,2.000000,0.000000,0.000054
0.020000,0.305957,9.570328,0.014400,0.240000,2.000000,-0.000000,6.283120
0.020000,0.311157,9.570327,0.019600,0.280000,2.000000,0.000000,6.282980
0.020000,0.317157,9.570325,0.025600,0.320000,2.000000,-0.000000,6.282818
0.020000,0.323957,9.570322,0.032400,0.360000,2.000000,0.000000,6.282636
0.020000,0.331557,9.570317,0.040000,0.400000,2.000000,0.000000,6.282433
0.020000,0.339957,9.570310,0.048400,0.440000,2.000000,-0.000000,6.282209
0.020000,0.349157,9.570300,0.057600,0.480000,2.000000,0.000000,6.281965
0.020000,0.359157,9.570286,0.067600,0.520000,2.000000,0.000000,6.281702
0.020000,0.369957,9.570269,0.078400,0.560000,2.000000,0.000000,6.281418
0.020000,0.381557,9.570247,0.090000,0.600000,2.000000,0.000000,6.281116
0.020000,0.393957,9.570219,0.102400,0.640000,2.000000,-0.000000,6.280794
0.020000,0.407157,9.570185,0.115600,0.680000,2.000000,0.000000,6.280454
0.020000,0.421157,9.570144,0.129600,0.720000,2.000000,0.000000,6.280096
0.020000,0.435957,9.570096,0.144400,0.760000,2.000000,0.000000,6.279721
0.020000,0.451557,9.570039,0.160000,0.800000,2.000000,0.000000,6.279328
0.020000,0.467956,9.569972,0.176400,0.840000,2.000000,0.000000,6.278918
0.020000,0.485156,9.569895,0.193600,0.880000,2.000000,-0.000000,6.278492
0.020000,0.503156,9.569807,0.211600,0.920000,2.000000,0.000000,6.278051
0.020000,0.521956,9.569706,0.230400,0.960000,2.000000,0.000000,6.277595
0.020000,0.541555,9.569592,0.250000,1.000000,2.000000,0.000000,6.277124
0.020000,0.561955,9.569463,0.270400,1.040000,2.000000,0.000000,6.276639
0.020000,0.583155,9.569319,0.291600,1.080000,2.000000,0.000000,6.276141
0.020000,0.605154,9.569158,0.313600,1.120000,2.000000,0.000000,6.275631
0.020000,0.627953,9.568980,0.336400,1.160000,2.000000,-0.000000,6.275109
0.020000,0.651553,9.568783,0.360000,1.200000,2.000000,0.000000,6.274575
0.020000,0.675952,9.568566,0.384400,1.240000,2.000000,-0.000000,6.274031
0.020000,0.701150,9.568329,0.409600,1.280000,2.000000,0.000000,6.273478
0.020000,0.727149,9.568069,0.435600,1.320000,2.000000,0.000000,6.272916
0.020000,0.753948,9.567786,0.462400,1.360000,2.000000,-0.000000,6.272345
0.020000,0.781546,9.567479,0.490000,1.400000,2.000000,0.000000,6.271768
0.020000,0.809944,9.567146,0.518400,1.440000,2.000000,0.000000,6.271184
0.020000,0.839142,9.566787,0.547600,1.480000,2.000000,0.000000,6.270595
0.020000,0.869139,9.566401,0.577600,1.520000,2.000000,0.000000,6.270001
0.020000,0.899936,9.565985,0.608400,1.560000,2.000000,0.000000,6.269403
0.020000,0.931533,9.565540,0.640000,1.600000,2.000000,0.000000,6.268803
0.020000,0.963930,9.565065,0.672400,1.640000,2.000000,-0.000000,6.268201
0.020000,0.997126,9.564557,0.705600,1.680000,2.000000,0.000000,6.267599
0.020000,1.031122,9.564017,0.739600,1.720000,2.000000,-0.000000,6.266997
0.020000,1.065917,9.563443,0.774400,1.760000,2.000000,-0.000000,6.266396
0.020000,1.101512,9.562835,0.810000,1.800000,2.000000,0.000000,6.265797
0.020000,1.137906,9.562191,0.846400,1.840000,2.000000,0.000000,6.265202
0.020000,1.175100,9.561511,0.883600,1.880000,2.000000,0.000000,6.264612
0.020000,1.213093,9.560794,0.921600,1.920000,2.000000,-0.000000,6.264028
0.020000,1.251886,9.560040,0.960400,1.960000,2.000000,0.000000,6.263450
0.020000,1.291478,9.559247,1.000000,2.000000,2.000000,0.000000,6.262881
0.020000,1.331869,9.558415,1.040400,2.040000,2.000000,0.000000,6.262320
0.020000,1.373060,9.557544,1.081600,2.080000,2.000000,0.000000,6.261771
0.020000,1.415050,9.556633,1.123600,2.120000,2.000000,0.000000,6.261233
0.020000,1.457840,9.555683,1.166400,2.160000,2.000000,0.000000,6.260709
0.020000,1.501428,9.554692,1.210000,2.200000,2.000000,-0.000000,6.260198
0.020000,1.545816,9.553660,1.254400,2.240000,2.000000,0.000000,6.259704
0.020000,1.591004,9.552588,1.299600,2.280000,2.000000,-0.000000,6.259226
0.020000,1.636990,9.551475,1.345600,2.320000,2.000000,-0.000000,6.258767
0.020000,1.683776,9.550322,1.392400,2.360000,2.000000,0.000000,6.258328
0.020000,1.731361,9.549129,1.440000,2.400000,2.000000,0.000000,6.257910
0.020000,1.779745,9.547896,1.488400,2.440000,2.000000,-0.000000,6.257514
0.020000,1.828929,9.546624,1.537600,2.480000,2.000000,0.000000,6.257143
0.020000,1.878912,9.545313,1.587600,2.520000,2.000000,0.000000,6.256797
0.020000,1.929694,9.543965,1.638400,2.560000,2.000000,0.000000,6.256479
0.020000,1.981275,9.542579,1.690000,2.600000,2.000000,0.000000,6.256189
0.020000,2.033656,9.541158,1.742400,2.640000,2.000000,0.000000,6.255929
0.020000,2.086836,9.539702,1.795600,2.680000,2.000000,-0.000000,6.255702
0.020000,2.140815,9.538212,1.849600,2.720000,2.000000,0.000000,6.255507
0.020000,2.195594,9.536691,1.904400,2.760000,2.000000,0.000000,6.255348
0.020000,2.251173,9.535140,1.960000,2.800000,2.000000,-0.000000,6.255225
0.020000,2.307551,9.533561,2.016400,2.840000,2.000000,0.000000,6.255141
0.020000,2.364728,9.531955,2.073600,2.880000,2.000000,0.000000,6.255097
0.020000,2.422705,9.530326,2.131600,2.920000,2.000000,0.000000,6.255095
0.020000,2.481482,9.528676,2.190400,2.960000,2.000000,0.000000,6.255137
0.020000,2.541059,9.527007,2.250000,3.000000,2.000000,0.000000,6.255223
0.020000,2.601035,9.525333,2.310000,3.000000,0.000000,-100.000000,6.255357
0.020000,2.661012,9.523669,2.370000,3.000000,0.000000,0.000000,6.255536
0.020000,2.720989,9.522016,2.430000,3.000000,0.000000,0.000000,6.255760
0.020000,2.780967,9.520379,2.490000,3.000000,0.000000,0.000000,6.256031
0.020000,2.840945,9.518759,2.550000,3.000000,0.000000,0.000000,6.256347
0.020000,2.900924,9.517160,2.610000,3.000000,0.000000,0.000000,6.256710
0.020000,2.960903,9.515583,2.670000,3.000000,0.000000,0.000000,6.257118
0.020000,3.020883,9.514033,2.730000,3.000000,0.000000,0.000000,6.257572
0.020000,3.080864,9.512511,2.790000,3.000000,0.000000,0.000000,6.258072
0.020000,3.140845,9.511020,2.850000,3.000000,0.000000,0.000000,6.258619
0.020000,3.200828,9.509564,2.910000,3.000000,0.000000,0.000000,6.259211
0.020000,3.260811,9.508145,2.970000,3.000000,0.000000,0.000000,6.259849
0.020000,3.320795,9.506765,3.030000,3.000000,0.000000,0.000000,6.260534
0.020000,3.380780,9.505428,3.090000,3.000000,0.000000,0.000000,6.261265
0.020000,3.440766,9.504136,3.150000,3.000000,0.000000,0.000000,6.262042
