dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.303823,8.655328,0.000400,0.040000,2.000000,100.000000,0.000314
0.020000,0.303793,8.655328,0.000430,0.001493,-1.925369,-196.268469,0.000281
0.020000,0.303743,8.655328,0.000480,0.002486,0.049657,98.751332,0.000227
0.020000,0.303674,8.655328,0.000549,0.003476,0.049513,-0.007236,0.000151
0.020000,0.303584,8.655328,0.000638,0.004462,0.049310,-0.010129,0.000054
0.020000,0.305897,8.655328,0.002951,0.115635,5.558656,275.467299,6.283120
0.020000,0.310969,8.655327,0.008023,0.253581,6.897299,66.932163,6.282980
0.020000,0.316821,8.655325,0.013875,0.292617,1.951785,-247.275695,6.282818
0.020000,0.323454,8.655322,0.020508,0.331656,1.951947,0.008073,6.282636
0.020000,0.330868,8.655317,0.027922,0.370709,1.952640,0.034655,6.282433
0.020000,0.339064,8.655310,0.036118,0.409774,1.953283,0.032159,6.282209
0.020000,0.348041,8.655301,0.045095,0.448845,1.953538,0.012763,6.281965
0.020000,0.357799,8.655287,0.054853,0.487934,1.954451,0.045646,6.281702
0.020000,0.368340,8.655270,0.065394,0.527038,1.955188,0.036850,6.281418
0.020000,0.379663,8.655248,0.076717,0.566157,1.955945,0.037841,6.281116
0.020000,0.391769,8.655221,0.088823,0.605292,1.956778,0.041669,6.280794
0.020000,0.404658,8.655188,0.101712,0.644446,1.957688,0.045475,6.280454
0.020000,0.418330,8.655149,0.115384,0.683620,1.958673,0.049256,6.280096
0.020000,0.432786,8.655101,0.129841,0.722813,1.959662,0.049432,6.279721
0.020000,0.448027,8.655046,0.145081,0.762023,1.960527,0.043273,6.279328
0.020000,0.464052,8.654980,0.161106,0.801263,1.961989,0.073089,6.278918
0.020000,0.480862,8.654905,0.177917,0.840524,1.963060,0.053543,6.278492
0.020000,0.498458,8.654819,0.195513,0.879808,1.964165,0.055271,6.278051
0.020000,0.516840,8.654720,0.213895,0.919121,1.965668,0.075153,6.277595
0.020000,0.536009,8.654608,0.233065,0.958460,1.966930,0.063106,6.277124
0.020000,0.555965,8.654483,0.253021,0.997824,1.968217,0.064353,6.276639
0.020000,0.576709,8.654342,0.273766,1.037222,1.969904,0.084339,6.276141
0.020000,0.598242,8.654184,0.295299,1.076649,1.971364,0.073001,6.275631
0.020000,0.620563,8.654010,0.317621,1.116107,1.972899,0.076738,6.275109
0.020000,0.643674,8.653817,0.340733,1.155598,1.974508,0.080430,6.274575
0.020000,0.667576,8.653605,0.364635,1.195121,1.976189,0.084074,6.274031
0.020000,0.692268,8.653372,0.389329,1.234680,1.977942,0.087667,6.273478
0.020000,0.717753,8.653117,0.414814,1.274275,1.979767,0.091206,6.272916
0.020000,0.744029,8.652840,0.441092,1.313909,1.981660,0.094687,6.272345
0.020000,0.771099,8.652539,0.468164,1.353581,1.983622,0.098109,6.271768
0.020000,0.798963,8.652212,0.496030,1.393289,1.985373,0.087512,6.271184
0.020000,0.827622,8.651860,0.524691,1.433039,1.987525,0.107605,6.270595
0.020000,0.857076,8.651480,0.554147,1.472832,1.989649,0.106202,6.270001
0.020000,0.887326,8.651072,0.584401,1.512665,1.991625,0.098790,6.269403
0.020000,0.918374,8.650635,0.615451,1.552542,1.993891,0.113300,6.268803
0.020000,0.950220,8.650167,0.647301,1.592467,1.996225,0.116697,6.268201
0.020000,0.982865,8.649668,0.679949,1.632432,1.998259,0.101699,6.267599
0.020000,1.016310,8.649137,0.713398,1.672447,2.000733,0.123711,6.266997
0.020000,1.050555,8.648572,0.747648,1.712510,2.003156,0.121172,6.266396
0.020000,1.085602,8.647973,0.782701,1.752621,2.005577,0.121062,6.265797
0.020000,1.121453,8.647339,0.818557,1.792783,2.008066,0.124440,6.265202
0.020000,1.158106,8.646669,0.855216,1.832995,2.010621,0.127738,6.264612
0.020000,1.195565,8.645962,0.892682,1.873260,2.013240,0.130952,6.264028
0.020000,1.233829,8.645218,0.930953,1.913578,2.015884,0.132205,6.263450
0.020000,1.272900,8.644435,0.970032,1.953946,2.018446,0.128080,6.262881
0.020000,1.312779,8.643614,1.009920,1.994375,2.021424,0.148917,6.262320
0.020000,1.353467,8.642754,1.050617,2.034859,2.024185,0.138045,6.261771
